e1	a1	l1	r1	a2	l2	r2	a3	b3	l3	r3	a4	b4	l4	r4	a5	b5	l5	r5
    35.00000	     6.78702	   202.68445	   232.66909	     3.77741	   196.25388	   226.02140	     4.52723	     2.78730	   193.72906	   232.66909	     5.29818	     2.80940	   195.67732	   232.66909	     4.95144	     4.13389	   189.77395	   232.66909	
    37.00000	     4.89557	   225.95507	   245.96447	     3.54285	   208.50911	   239.31678	     2.34657	     2.99341	   212.11401	   245.96447	     3.58417	     3.27257	   216.20721	   245.96447	     3.04119	     3.62031	   212.04497	   245.96447	
    25.00000	     7.16587	   143.36612	   166.19221	     4.19650	   136.76069	   159.54452	     4.87007	     3.07808	   136.50925	   166.19221	     6.06895	     3.17276	   139.13328	   166.19221	     5.38067	     3.59240	   136.65296	   166.19221	
    40.00000	    10.40580	   206.91835	   265.90753	     4.65771	   211.83991	   259.25985	     8.36503	     3.84857	   192.16787	   265.90753	     9.44575	     7.07369	   187.15406	   265.90753	     8.83588	     4.80851	   190.59869	   265.90753	
    38.00000	     5.58617	   227.70035	   252.61216	     3.70660	   208.84499	   245.96447	     3.37857	     3.27058	   209.01507	   252.61216	     3.43050	     4.81896	   200.35225	   252.61216	     3.88788	     5.43818	   196.56522	   252.61216	
    31.00000	     6.74590	   179.90271	   206.07834	     2.06516	   187.56471	   199.43065	     6.21787	     0.46122	   179.41734	   206.07834	     5.27188	     3.18789	   174.16350	   206.07834	     5.14742	     2.73881	   174.82208	   206.07834	
    47.00000	     8.07985	   262.15231	   312.44135	     5.06496	   246.94392	   305.79367	     5.31502	     4.38119	   238.80823	   312.44135	     6.38382	     4.93636	   241.13247	   312.44135	     6.04663	     5.88686	   234.45113	   312.44135	
    46.00000	     5.83207	   273.26592	   305.79367	     5.05654	   245.21512	   299.14598	     2.52640	     4.46964	   247.83067	   305.79367	     3.85065	     5.89488	   250.61789	   305.79367	     3.45378	     5.72228	   248.14067	   305.79367	
    37.00000	     8.86804	   201.38590	   245.96447	     4.85186	   196.15260	   239.31678	     6.32683	     3.71047	   188.37163	   245.96447	     7.54276	     5.21631	   186.52773	   245.96447	     6.86608	     5.24384	   182.54208	   245.96447	
    35.00000	     7.15685	   200.44225	   232.66909	     3.97321	   192.20772	   226.02140	     4.58894	     3.13452	   189.38849	   232.66909	     5.74815	     4.78683	   188.55906	   232.66909	     4.78181	     4.28285	   185.54055	   232.66909	
    43.00000	     9.01070	   232.41241	   285.85060	     4.07223	   237.30277	   279.20291	     7.03446	     2.96799	   221.79073	   285.85060	     7.99701	     5.57516	   215.14154	   285.85060	     7.35544	     4.78466	   214.72172	   285.85060	
    31.00000	     8.33356	   171.48375	   206.07834	     5.18940	   161.12390	   199.43065	     5.59074	     4.34261	   157.53442	   206.07834	     7.08333	     5.84421	   158.97723	   206.07834	     6.33508	     5.04302	   157.86331	   206.07834	
    28.00000	     6.26309	   165.09172	   186.13527	     2.96528	   160.92785	   179.48759	     4.42994	     2.14264	   159.92666	   186.13527	     4.98149	     2.65013	   159.49646	   186.13527	     4.82847	     3.10431	   158.29966	   186.13527	
